Date,Open,High,Low,Close,Adj Close,Volume
2020-08-17,63.826542,68.519516,61.881557,67.028038,67.028038,3997651594
2020-08-18,67.056160,68.032959,64.278191,65.527534,65.527534,3627257060
2020-08-19,65.554649,66.967186,59.573177,62.004627,62.004627,3345972244
2020-08-20,62.019966,63.530529,61.284641,62.966755,62.966755,2801314591
2020-08-21,62.905972,63.649986,59.173359,59.379021,59.379021,2911090515
2020-08-22,59.363056,60.461704,58.288548,60.311157,60.311157,2317942996
2020-08-23,60.262802,61.488960,58.340385,60.623260,60.623260,2315616100
2020-08-24,60.623260,62.820099,60.271561,62.199425,62.199425,2490426542
2020-08-25,62.215099,62.341969,57.267555,58.580666,58.580666,2625416624
2020-08-26,58.442039,58.992382,57.213589,58.358173,58.358173,2067102732
2020-08-27,58.298702,59.159904,54.795097,56.041016,56.041016,2212235187
2020-08-28,56.103962,58.167583,55.566372,57.354404,57.354404,2206041301
2020-08-29,57.438873,58.226944,57.130051,57.291733,57.291733,2006047086
2020-08-30,57.207737,62.798176,57.171024,62.725342,62.725342,2759602454
2020-08-31,62.844059,63.491257,60.751560,61.113796,61.113796,2561891272
2020-09-01,61.105076,64.183960,60.386982,62.882790,62.882790,2717986649
2020-09-02,62.871326,63.070721,57.139809,58.099648,58.099648,2790169260
2020-09-03,58.013084,58.530819,47.059383,47.774113,47.774113,2765272845
2020-09-04,47.779217,52.333023,47.185322,50.611977,50.611977,2851271830
2020-09-05,50.619232,51.318096,46.146461,47.589336,47.589336,2831766570
2020-09-06,47.596558,48.895569,46.622665,48.053574,48.053574,2075916067
2020-09-07,48.033924,49.071953,45.621662,48.770107,48.770107,2235340013
2020-09-08,48.805126,49.300014,46.202377,47.383801,47.383801,2314205963
2020-09-09,47.377357,48.846668,46.701378,47.897697,47.897697,1828181736
2020-09-10,47.923195,49.384384,47.903496,48.716854,48.716854,2001211524
2020-09-11,48.716854,49.409737,47.402073,49.089752,49.089752,1835173089
2020-09-12,49.057728,51.221138,48.672417,50.817154,50.817154,1588978329
2020-09-13,50.760929,50.931419,47.525314,48.066036,48.066036,1785910878
2020-09-14,48.049660,49.944817,47.438557,49.090122,49.090122,1786276098
2020-09-15,49.117363,50.144680,48.347805,48.390099,48.390099,1663112038
2020-09-16,48.459633,48.792355,47.467407,47.933434,47.933434,1674030602
2020-09-17,47.980671,49.479813,47.875195,48.877068,48.877068,1701721113
2020-09-18,48.828274,49.077709,47.791714,48.462814,48.462814,1135775840
2020-09-19,48.481586,49.032795,48.208038,48.676830,48.676830,961716690
2020-09-20,48.667938,48.670559,46.431103,47.100529,47.100529,1033913350
2020-09-21,47.129139,47.649158,42.543270,43.390221,43.390221,1923483523
2020-09-22,43.359463,44.765404,43.117298,44.545048,44.545048,1078696494
2020-09-23,44.565754,45.007458,42.735256,43.042057,43.042057,1330940959
2020-09-24,43.042057,45.148335,42.746922,44.961006,44.961006,1129884292
2020-09-25,45.048149,46.444870,44.203842,46.008736,46.008736,1159558918
2020-09-26,45.980480,46.432858,45.432365,46.131226,46.131226,1001047365
2020-09-27,46.049644,46.476425,44.889709,46.010441,46.010441,995464294
2020-09-28,46.063644,46.906715,45.218987,45.270672,45.270672,1157658930
2020-09-29,45.251110,45.809437,45.104984,45.698059,45.698059,985360576
2020-09-30,45.720242,46.613907,45.525665,46.284039,46.284039,1107615079
2020-10-01,46.233166,48.416821,45.780666,46.283146,46.283146,1537701155
2020-10-02,46.283146,46.914402,44.019604,44.979713,44.979713,1802776660
2020-10-03,44.985764,46.074318,44.913029,45.653278,45.653278,1136535215
2020-10-04,45.661476,46.987717,45.492607,46.750809,46.750809,1212072761
